Code,pentad,2000,2001,2002,2003
12256,18,0.09,0.37,0.136,0.316
12256,19,0.098,0.41000000000000003,0.138,0.40599999999999997
12256,2,0.084,0.292,0.098,0.25
12256,20,0.10800000000000001,0.35000000000000003,0.24800000000000005,0.302
12256,21,0.17,0.31,0.38800000000000007,0.438
12256,22,0.8859999999999999,0.298,0.46799999999999997,0.6639999999999999
12256,23,1.778,0.6210000000000001,0.676,1.264
12256,24,2.87,2.3150000000000004,2.5700000000000003,2.2600000000000002
12256,25,3.592,3.476,1.6800000000000002,4.2
12256,26,5.890000000000001,4.534,2.112,3.342
12256,27,6.176,5.16,4.052,2.0439999999999996
12256,28,3.59,5.176,5.152,1.884
12256,29,5.27,8.004,4.186,3.874
12256,3,0.07,0.26,0.07400000000000001,0.198
12256,30,7.384,5.974,5.759,7.838000000000001
12256,31,8.75,5.802,4.364000000000001,11.1
12256,32,9.34,7.9159999999999995,3.618,12.58
12256,33,8.23,8.478,10.678,9.292
12256,34,10.488,7.13,13.6,11.09
12256,35,5.654,12.66,8.252,12.459999999999999
12256,36,11.136,11.52,7.148000000000001,8.592
12256,37,8.988,13.84,5.8260000000000005,5.562
12256,38,4.1579999999999995,12.52,7.536,9.691999999999998
12256,39,2.44,13.494,5.932,12.64
12256,4,0.055999999999999994,0.22999999999999998,0.06,0.166
12256,40,8.678999999999998,7.436,5.666,12.280000000000001
12256,41,8.370000000000001,10.966,6.008,10.565999999999999
12256,42,8.538,17.32,4.564,11.988
12256,43,7.7780000000000005,15.219999999999999,5.402,11.96
12256,44,7.9,11.98,5.212000000000001,10.843999999999998
12256,45,10.057999999999998,11.78,5.63,9.978
12256,46,10.741999999999999,8.962,6.022,8.534
12256,47,6.603999999999999,9.922,6.183999999999999,10.056000000000001
12256,48,3.2640000000000002,4.6579999999999995,6.305999999999999,3.6420000000000003
12256,49,2.488,2.752,4.076,2.304
12256,5,0.048,0.20400000000000001,0.05,0.118
12256,50,3.7699999999999996,1.952,3.136,1.4460000000000002
12256,51,3.3,1.388,2.178,2.2039999999999997
12256,52,2.998,1.526,1.8479999999999996,2.242
12256,53,1.81,1.4979999999999998,0.952,1.352
12256,54,1.908,1.884,0.82,1.5819999999999999
12256,55,1.516,2.5540000000000003,0.774,0.944
12256,56,7.938999999999998,1.6019999999999999,0.826,0.758
12256,57,4.76,1.816,1.221,0.6859999999999999
12256,58,1.902,2.578,1.076,0.666
12256,59,1.318,1.3,0.8719999999999999,0.698
12256,6,0.04,0.182,0.05,0.094
12256,60,1.5459999999999998,0.952,0.764,0.805
12256,61,1.224,0.74,0.6619999999999999,0.668
12256,62,1.902,0.6679999999999999,1.0586666666666666,0.6380000000000001
12256,63,1.866,0.53,3.573333333333333,0.568
12256,64,1.072,0.49399999999999994,1.276,0.538
12256,65,0.818,0.422,1.498,0.5760000000000001
12256,66,0.9400000000000001,0.39,0.922,0.5359999999999999
12256,67,0.5980000000000001,0.368,0.734,0.46799999999999997
12256,68,0.54,0.308,0.578,0.398
12256,69,0.526,0.258,0.524,0.33
12256,7,0.034,0.17200000000000001,0.05,0.09
12256,70,0.484,0.22000000000000003,0.488,0.29
12256,71,0.43600000000000005,0.19,0.442,0.25
12256,72,0.37249999999999994,0.15,0.37,
12256,8,0.03,0.17,0.05,0.09
12256,9,0.03,0.17,0.051000000000000004,0.09
